Departamento,Municipio,Demanda Real [MWh],Participación [%]
Antioquia,Abejorral,341.28769,"0,00%"
Antioquia,Amaga,23259.722819999988,"0,11%"
Antioquia,Amalfi,577.5102100000004,"0,00%"
Antioquia,Andes,1211.9804299999998,"0,01%"
Antioquia,Angelopolis,1256.3204899999996,"0,01%"
Antioquia,Apartado,19873.60266,"0,09%"
Antioquia,Arboletes,445.27928000000014,"0,00%"
Antioquia,Barbosa,114158.52993000003,"0,53%"
Antioquia,Bello,120968.33128999993,"0,56%"
Antioquia,Caldas,34153.24404999999,"0,16%"
Antioquia,Carepa,12280.130380000017,"0,06%"
Antioquia,Carmen De Viboral,7175.4167300000045,"0,03%"
Antioquia,Caucasia,14499.955989999999,"0,07%"
Antioquia,Chigorodo,551.1121600000005,"0,00%"
Antioquia,Cisneros,12405.835509999999,"0,06%"
Antioquia,Cocorna,12570.39471000001,"0,06%"
Antioquia,Copacabana,29924.090370000005,"0,14%"
Antioquia,Don Matias,2726.368929999999,"0,01%"
Antioquia,El Bagre,2114.5592299999967,"0,01%"
Antioquia,Entrerrios,9283.87116,"0,04%"
Antioquia,Envigado,171490.06435999993,"0,80%"
Antioquia,Girardota,142630.17603,"0,66%"
Antioquia,Gomez Plata,321.07796999999994,"0,00%"
Antioquia,Guadalupe,998.5752600000003,"0,00%"
Antioquia,Guarne,71781.28360999994,"0,33%"
Antioquia,Guatapé,787.5686599999999,"0,00%"
Antioquia,Itagui,222157.26020999983,"1,03%"
Antioquia,La Ceja,17252.291260000005,"0,08%"
Antioquia,La Estrella,70872.15062999996,"0,33%"
Antioquia,La Pintada,516.2986000000003,"0,00%"
Antioquia,La Union,4983.375419999998,"0,02%"
Antioquia,Maceo,2178.3789500000003,"0,01%"
Antioquia,Marinilla,33849.18087000002,"0,16%"
Antioquia,Medellín,892982.9681700006,"4,16%"
Antioquia,Montebello,13.874899999999998,"0,00%"
Antioquia,Necocli,680.7347499999998,"0,00%"
Antioquia,Peñol,659.5117600000001,"0,00%"
Antioquia,Pto Nare,101391.54984999991,"0,47%"
Antioquia,Puerto Berrio,50697.235929999966,"0,24%"
Antioquia,Puerto Triunfo,6476.711409999995,"0,03%"
Antioquia,Remedios,3873.495779999996,"0,02%"
Antioquia,Retiro,11819.08286999999,"0,06%"
Antioquia,Rionegro,212675.28806000008,"0,99%"
Antioquia,Sabaneta,65804.46595999996,"0,31%"
Antioquia,San Jeronimo,1910.7838300000008,"0,01%"
Antioquia,San Luis,599.9177400000002,"0,00%"
Antioquia,San Pedro,22589.366859999984,"0,11%"
Antioquia,San Pedrouraba,298.72115000000014,"0,00%"
Antioquia,Santa Rosade Osos,25274.702510000003,"0,12%"
Antioquia,Santafé De Antioquia,1693.8861300000003,"0,01%"
Antioquia,Santuario,821.2756700000004,"0,00%"
Antioquia,Segovia,24084.437759999997,"0,11%"
Antioquia,Sonson,5802.790009999999,"0,03%"
Antioquia,Taraza,796.12693,"0,00%"
Antioquia,Titiribi,368.5780699999999,"0,00%"
Antioquia,Toledo,24304.479800000023,"0,11%"
Antioquia,Turbo,6593.172120000002,"0,03%"
Antioquia,Urrao,1193.971859999999,"0,01%"
Antioquia,Yarumal,24676.595680000002,"0,11%"
Antioquia,Yolombo,436.0984700000001,"0,00%"
Arauca,Arauca,374243.69087000017,"1,74%"
Arauca,Saravena,1475.1308700000004,"0,01%"
Arauca,Tame,1583.8323599999997,"0,01%"
Atlántico,Baranoa,1455.6463499999998,"0,01%"
Atlántico,Barranquilla,895338.2564199999,"4,17%"
Atlántico,Campo Dela Cruz,506.3936400000001,"0,00%"
Atlántico,Candelaria,326.76072,"0,00%"
Atlántico,Galapa,71346.29992999995,"0,33%"
Atlántico,Luruaco,2056.9683099999997,"0,01%"
Atlántico,Malambo,92158.50329000005,"0,43%"
Atlántico,Manati,338.3910000000001,"0,00%"
Atlántico,Palmar Devarela,887.2538000000003,"0,00%"
Atlántico,Piojo,146.30952,"0,00%"
Atlántico,Polonuevo,1073.1214100000002,"0,00%"
Atlántico,Ponedera,5089.598509999998,"0,02%"
Atlántico,Puerto Colombia,21234.00417999998,"0,10%"
Atlántico,Repelon,544.9674,"0,00%"
Atlántico,Sabanagrande,14323.717610000003,"0,07%"
Atlántico,Sabanalarga,10132.106619999995,"0,05%"
Atlántico,Santa Lucia,293.12364,"0,00%"
Atlántico,Santo Tomas,1270.9836999999998,"0,01%"
Atlántico,Soledad,97498.58578999995,"0,45%"
Atlántico,Suan,335.79492,"0,00%"
Atlántico,Tubara,2011.6343800000009,"0,01%"
