Departamento,Municipio,Demanda Real [MWh],Participación [%]
Bogotá. D.C.,Bogota D.C,2090243.3472100012,"8,45%"
Meta,Puerto Gaitan,1426413.2977400003,"5,77%"
Meta,Villavicencio,1345474.4985700005,"5,44%"
Córdoba,Montelibano,1296821.9869500007,"5,24%"
Bolívar,Cartagena,1291255.0436200008,"5,22%"
Valle Del Cauca,Cali,974748.6440400002,"3,94%"
Atlántico,Barranquilla,965729.0892099997,"3,90%"
Antioquia,Medellín,943775.6988200006,"3,82%"
Valle Del Cauca,Yumbo,831211.7363299999,"3,36%"
Arauca,Arauca,745312.0166999996,"3,01%"
Santander,Barrancabermeja,676222.6987700007,"2,73%"
Cundinamarca,Tocancipa,552075.8698699995,"2,23%"
Boyacá,Nobsa,435336.57635999983,"1,76%"
Caldas,Manizales,380263.73213999975,"1,54%"
Valle Del Cauca,Palmira,376313.18658000015,"1,52%"
Casanare,Villanueva,263439.7611900003,"1,06%"
Antioquia,Itagui,244186.53791000016,"0,99%"
Casanare,Tauramena,236261.8926099999,"0,96%"
Cundinamarca,Funza,231499.55371999988,"0,94%"
Santander,Bucaramanga,230231.88698,"0,93%"
La Guajira,Riohacha,226448.03778999997,"0,92%"
Tolima,Ibague,221301.9409199999,"0,89%"
Norte De Santander,Cucuta,212061.06256999995,"0,86%"
Cundinamarca,Madrid,203790.24302999998,"0,82%"
Antioquia,Rionegro,200594.70647000006,"0,81%"
Magdalena,Santa Marta,190030.47903999995,"0,77%"
Cundinamarca,Cajica,189201.5426899999,"0,76%"
Boyacá,Tuta,189161.50709999996,"0,76%"
Risaralda,Pereira,185544.38021999993,"0,75%"
Boyacá,Puerto Boyaca,182623.17515000002,"0,74%"
Cundinamarca,Cogua,179696.7238299999,"0,73%"
Boyacá,Sogamoso,171637.56001999998,"0,69%"
Cundinamarca,Soacha,157718.56169000015,"0,64%"
Antioquia,Buritica,151560.07198,"0,61%"
Antioquia,Girardota,130793.56672000006,"0,53%"
Valle Del Cauca,Buga,129129.86866000004,"0,52%"
Cundinamarca,Cota,124823.11456000009,"0,50%"
Atlántico,Malambo,121706.14985999989,"0,49%"
Antioquia,Bello,119681.64664,"0,48%"
Antioquia,Barbosa,117984.04625999999,"0,48%"
Antioquia,Pto Nare,117834.45726000002,"0,48%"
Antioquia,Envigado,117709.83294000001,"0,48%"
Córdoba,Monteria,115687.59769,"0,47%"
Huila,Aipe,114250.14940999995,"0,46%"
Atlántico,Galapa,112527.33901000004,"0,45%"
