Departamento,Municipio,Demanda Real [MWh],Participación [%]
Bogotá. D.C.,Bogota D.C,2367305.244659999,"9,63%"
Bolívar,Cartagena,1247897.1934899995,"5,08%"
Córdoba,Montelibano,1221293.32823,"4,97%"
Atlántico,Barranquilla,1063406.6136400006,"4,33%"
Valle Del Cauca,Cali,964374.5568600007,"3,92%"
Meta,Puerto Gaitan,954905.6895899996,"3,89%"
Antioquia,Medellín,937581.9178200004,"3,82%"
Meta,Villavicencio,876647.1019300004,"3,57%"
Valle Del Cauca,Yumbo,863221.4346599992,"3,51%"
Arauca,Arauca,757899.00342,"3,08%"
Santander,Barrancabermeja,633713.1629200005,"2,58%"
Boyacá,Santa Maria,523786.39330000046,"2,13%"
Cundinamarca,Tocancipa,490603.6207600001,"2,00%"
Boyacá,Nobsa,453362.6776599997,"1,85%"
Valle Del Cauca,Palmira,444343.87542000005,"1,81%"
Caldas,Manizales,414837.91196000023,"1,69%"
Antioquia,Itagui,242847.81336000006,"0,99%"
Norte De Santander,Cucuta,235933.34003000008,"0,96%"
Cundinamarca,Funza,225663.1355000002,"0,92%"
Boyacá,Tuta,225469.68355999998,"0,92%"
Cundinamarca,Madrid,213041.48851000002,"0,87%"
Tolima,Ibague,209573.48143999994,"0,85%"
Antioquia,Rionegro,208842.47549000004,"0,85%"
Magdalena,Santa Marta,207410.50237000006,"0,84%"
Santander,Bucaramanga,206603.42593000006,"0,84%"
La Guajira,Riohacha,200709.09414000026,"0,82%"
Risaralda,Pereira,199429.93206999998,"0,81%"
Cundinamarca,Cajica,198984.84033,"0,81%"
Casanare,Tauramena,193268.19086999993,"0,79%"
Boyacá,Sogamoso,185945.9955299999,"0,76%"
Boyacá,Puerto Boyaca,183003.93284,"0,74%"
Cundinamarca,Soacha,162081.26007999992,"0,66%"
Antioquia,Pto Nare,154772.9879600002,"0,63%"
Atlántico,Soledad,145690.38081,"0,59%"
Valle Del Cauca,Buga,145086.4116200001,"0,59%"
Antioquia,Girardota,143589.33752000006,"0,58%"
Cundinamarca,Cogua,142066.08721999993,"0,58%"
Huila,Aipe,140240.34165999995,"0,57%"
Cauca,Guachené,137739.81671999994,"0,56%"
Cundinamarca,Cota,137045.8822700001,"0,56%"
Antioquia,Bello,131870.33434000003,"0,54%"
Atlántico,Malambo,129090.52658000009,"0,53%"
Antioquia,Buritica,127459.80515999995,"0,52%"
Antioquia,Barbosa,124287.00312,"0,51%"
Antioquia,Envigado,119916.70260999986,"0,49%"
Cundinamarca,Facatativa,114523.25508000005,"0,47%"
Córdoba,Monteria,113673.54592999996,"0,46%"
Antioquia,Sonson,111021.32415,"0,45%"
Atlántico,Galapa,107814.18171999995,"0,44%"
Cundinamarca,Mosquera,103975.94481000002,"0,42%"
Huila,Neiva,100374.55419999996,"0,41%"
Antioquia,Guarne,95683.84390000004,"0,39%"
Valle Del Cauca,Candelaria,90313.13551999997,"0,37%"
Caldas,Chinchina,85950.26924999997,"0,35%"
Cesar,Valledupar,85097.9386,"0,35%"
Santander,Giron,84490.31573000002,"0,34%"
Magdalena,Cienaga,83928.93177000001,"0,34%"
Risaralda,Dos Quebradas,83538.79241000004,"0,34%"
Sucre,Sincelejo,82167.69403999994,"0,33%"
Antioquia,La Estrella,81610.23194999994,"0,33%"
Cundinamarca,Sibate,80949.51828000005,"0,33%"
