Departamento,Municipio,Demanda Real [MWh],Participación [%]
Antioquia,Abejorral,342.29532000000006,"0,00%"
Antioquia,Amaga,20709.027739999994,"0,10%"
Antioquia,Amalfi,635.8721399999998,"0,00%"
Antioquia,Andes,1367.8990399999989,"0,01%"
Antioquia,Angelopolis,1423.9059099999993,"0,01%"
Antioquia,Apartado,16020.957609999996,"0,08%"
Antioquia,Arboletes,415.3436199999999,"0,00%"
Antioquia,Barbosa,101784.28868000001,"0,50%"
Antioquia,Bello,123521.70242000009,"0,60%"
Antioquia,Caldas,31286.87861999996,"0,15%"
Antioquia,Carepa,9502.45953,"0,05%"
Antioquia,Carmen De Viboral,6944.650280000002,"0,03%"
Antioquia,Caucasia,14297.590739999987,"0,07%"
Antioquia,Chigorodo,902.3258499999997,"0,00%"
Antioquia,Cisneros,12730.435800000001,"0,06%"
Antioquia,Cocorna,12284.811379999986,"0,06%"
Antioquia,Copacabana,29167.61012999999,"0,14%"
Antioquia,Don Matias,2615.3393300000007,"0,01%"
Antioquia,El Bagre,2403.0123700000004,"0,01%"
Antioquia,Entrerrios,7684.371969999997,"0,04%"
Antioquia,Envigado,172044.67564,"0,84%"
Antioquia,Girardota,136588.23029999997,"0,67%"
Antioquia,Gomez Plata,53.25376,"0,00%"
Antioquia,Guadalupe,1369.1700799999992,"0,01%"
Antioquia,Guarne,71480.49813000005,"0,35%"
Antioquia,Guatapé,776.0103600000001,"0,00%"
Antioquia,Itagui,213856.25302999988,"1,05%"
Antioquia,La Ceja,16418.65829000001,"0,08%"
Antioquia,La Estrella,69805.28777999998,"0,34%"
Antioquia,La Pintada,529.5597799999996,"0,00%"
Antioquia,La Union,5426.900189999998,"0,03%"
Antioquia,Maceo,365.7654399999999,"0,00%"
Antioquia,Marinilla,29634.068290000014,"0,14%"
Antioquia,Medellín,883147.3125299995,"4,32%"
Antioquia,Montebello,122.67712000000007,"0,00%"
Antioquia,Necocli,725.9481700000002,"0,00%"
Antioquia,Peñol,654.4471199999999,"0,00%"
Antioquia,Pto Nare,82594.96345999994,"0,40%"
Antioquia,Puerto Berrio,52852.63287999997,"0,26%"
Antioquia,Puerto Triunfo,5136.974509999999,"0,03%"
Antioquia,Remedios,3510.6745699999983,"0,02%"
Antioquia,Retiro,3229.4100900000017,"0,02%"
Antioquia,Rionegro,221446.27420999995,"1,08%"
Antioquia,Sabaneta,76297.75259000009,"0,37%"
Antioquia,San Jeronimo,1914.8858900000002,"0,01%"
Antioquia,San Luis,558.7496600000003,"0,00%"
Antioquia,San Pedro,23467.21284000001,"0,11%"
Antioquia,San Pedrouraba,291.89559,"0,00%"
Antioquia,Santa Rosade Osos,20198.151,"0,10%"
Antioquia,Santafé De Antioquia,1204.5739199999996,"0,01%"
Antioquia,Santuario,842.0102699999998,"0,00%"
Antioquia,Segovia,26440.89186000001,"0,13%"
Antioquia,Sonson,5985.752020000001,"0,03%"
Antioquia,Taraza,775.9503400000046,"0,00%"
Antioquia,Titiribi,355.01959999999997,"0,00%"
Antioquia,Toledo,36283.04497000001,"0,18%"
Antioquia,Turbo,5753.173270000001,"0,03%"
Antioquia,Urrao,1250.0928900000001,"0,01%"
Antioquia,Valparaiso,0.40621,"0,00%"
Antioquia,Yarumal,23663.931789999973,"0,12%"
Antioquia,Yolombo,383.53497999999985,"0,00%"
Arauca,Arauca,273152.0053000001,"1,34%"
Arauca,Arauquita,70.70294,"0,00%"
Arauca,Saravena,1944.19384,"0,01%"
Arauca,Tame,1587.5747999999996,"0,01%"
Atlántico,Baranoa,1479.5758799999994,"0,01%"
Atlántico,Barranquilla,888364.6649800004,"4,34%"
Atlántico,Campo Dela Cruz,441.76679999999993,"0,00%"
Atlántico,Candelaria,296.17560000000003,"0,00%"
Atlántico,Galapa,64664.69143999997,"0,32%"
Atlántico,Luruaco,1931.5358199999996,"0,01%"
Atlántico,Malambo,88658.22627999994,"0,43%"
Atlántico,Manati,281.1084000000001,"0,00%"
Atlántico,Palmar Devarela,451.797,"0,00%"
Atlántico,Piojo,145.81386000000003,"0,00%"
Atlántico,Polonuevo,898.5493699999994,"0,00%"
Atlántico,Ponedera,4399.62257,"0,02%"
Atlántico,Puerto Colombia,21143.93463000001,"0,10%"
Atlántico,Repelon,416.66939999999994,"0,00%"
Atlántico,Sabanagrande,13137.964829999995,"0,06%"
Atlántico,Sabanalarga,7985.7010900000005,"0,04%"
Atlántico,Santa Lucia,215.8464,"0,00%"
Atlántico,Santo Tomas,1339.2699500000003,"0,01%"
Atlántico,Soledad,92212.64078999998,"0,45%"
Atlántico,Suan,316.27979999999997,"0,00%"
Atlántico,Tubara,1794.3034799999987,"0,01%"
Atlántico,Usiacuri,271.0782,"0,00%"
Bogotá. D.C.,Bogota D.C,2582382.4758599997,"12,63%"
Bogotá. D.C.,Bosa,5314.176239999995,"0,03%"
Bogotá. D.C.,Fontibon,4692.077829999998,"0,02%"
Bogotá. D.C.,Suba,2325.49792,"0,01%"
Bogotá. D.C.,Usme,915.4293600000002,"0,00%"
Bolívar,Altos Del Rosario,100.3896,"0,00%"
Bolívar,Arjona,1606.9284600000012,"0,01%"
Bolívar,Barranco Deloba,362.93854,"0,00%"
Bolívar,Calamar,895.2582400000003,"0,00%"
Bolívar,Cantagallo,1642.8479200000013,"0,01%"
Bolívar,Cartagena,1034980.4603900004,"5,06%"
Bolívar,Cicuco,326.31,"0,00%"
Bolívar,Clemencia,316.27979999999997,"0,00%"
Bolívar,Cordoba,770.3038200000001,"0,00%"
Bolívar,El Carmende Bolivar,81.94887999999999,"0,00%"
Bolívar,Hatillo De Loba,200.82300000000004,"0,00%"
Bolívar,Magangue,11504.618130000006,"0,06%"
Bolívar,Margarita,376.50480000000005,"0,00%"
Bolívar,Maria Labaja,953.8326000000001,"0,00%"
Bolívar,Mompos,1250.0082,"0,01%"
Bolívar,San Estanislao,205.8162,"0,00%"
Bolívar,San Jacinto,737.9423999999999,"0,00%"
Bolívar,San Juan Nepomuc.,1100.6814,"0,01%"
