Departamento,Municipio,Demanda Real [MWh],Participación [%]
Bogotá. D.C.,Bogota D.C,2090698.9703100019,"10,08%"
Córdoba,Montelibano,1174437.1255899998,"5,66%"
Bolívar,Cartagena,1001478.301869999,"4,83%"
Valle Del Cauca,Cali,902131.83588,"4,35%"
Atlántico,Barranquilla,840050.5892499996,"4,05%"
Antioquia,Medellín,837144.4734000001,"4,04%"
Valle Del Cauca,Yumbo,782299.3928099995,"3,77%"
Boyacá,Santa Maria,769554.6928399996,"3,71%"
Meta,Villavicencio,616249.2706000005,"2,97%"
Meta,Puerto Gaitan,584197.8199999996,"2,82%"
Santander,Barrancabermeja,550814.6522800002,"2,66%"
Cundinamarca,Tocancipa,416217.35521999997,"2,01%"
Valle Del Cauca,Palmira,402074.62984000007,"1,94%"
Arauca,Arauca,392293.82005000004,"1,89%"
Boyacá,Nobsa,378334.7546099996,"1,82%"
Caldas,Manizales,347230.97412,"1,67%"
Boyacá,Puerto Boyaca,231763.26654999985,"1,12%"
Antioquia,Itagui,223049.23059,"1,08%"
Tolima,Ibague,208656.37011999998,"1,01%"
Norte De Santander,Cucuta,196424.49315000005,"0,95%"
Antioquia,Rionegro,195842.04481999992,"0,94%"
Santander,Bucaramanga,187745.84729999994,"0,91%"
Cundinamarca,Funza,182681.7876699998,"0,88%"
Magdalena,Santa Marta,180043.11060999997,"0,87%"
Cundinamarca,Madrid,177332.56406999996,"0,85%"
Cundinamarca,Cajica,173708.76476999995,"0,84%"
Boyacá,Tuta,173421.22450999988,"0,84%"
Risaralda,Pereira,168275.4612,"0,81%"
Boyacá,Sogamoso,155574.54246000008,"0,75%"
La Guajira,Riohacha,142238.72131000005,"0,69%"
Cauca,Guachené,134752.50312000007,"0,65%"
Antioquia,Bello,132544.59068999992,"0,64%"
Valle Del Cauca,Buga,131927.98983,"0,64%"
Cundinamarca,Soacha,128360.90245000001,"0,62%"
Antioquia,Girardota,125649.23804999997,"0,61%"
Cundinamarca,Cota,116009.84903000003,"0,56%"
Antioquia,Envigado,110644.87950999997,"0,53%"
Antioquia,Barbosa,103852.72976000006,"0,50%"
Huila,Neiva,102396.59439,"0,49%"
Cundinamarca,Facatativa,102037.88146,"0,49%"
Cundinamarca,Cogua,100194.74660000001,"0,48%"
Valle Del Cauca,Candelaria,99276.00796999998,"0,48%"
Atlántico,Malambo,98019.61479000002,"0,47%"
Caldas,Chinchina,88864.70959000006,"0,43%"
Magdalena,Cienaga,88799.71715000003,"0,43%"
