Departamento,Municipio,Demanda Real [MWh],Participación [%]
Bogotá. D.C.,Bogota D.C,2306619.8246000027,"9,21%"
Meta,Puerto Gaitan,1411326.3303899998,"5,63%"
Córdoba,Montelibano,1265819.0152099996,"5,05%"
Bolívar,Cartagena,1251603.3766100004,"5,00%"
Meta,Villavicencio,1106329.887719999,"4,42%"
Atlántico,Barranquilla,1000545.5770000006,"3,99%"
Valle Del Cauca,Cali,963062.5929699995,"3,84%"
Antioquia,Medellín,940852.6653299999,"3,76%"
Valle Del Cauca,Yumbo,800356.9354700005,"3,19%"
Arauca,Arauca,766284.1429899996,"3,06%"
Santander,Barrancabermeja,675082.3287700001,"2,69%"
Cundinamarca,Tocancipa,479140.0309499999,"1,91%"
Boyacá,Nobsa,476318.8605,"1,90%"
Valle Del Cauca,Palmira,410349.0070400002,"1,64%"
Caldas,Manizales,392687.9081900003,"1,57%"
Cesar,El Paso,346435.33981000003,"1,38%"
Casanare,Tauramena,267077.9827800001,"1,07%"
Antioquia,Itagui,237374.4023400001,"0,95%"
Norte De Santander,Cucuta,232209.8927599999,"0,93%"
Tolima,Ibague,228274.59950999988,"0,91%"
Cundinamarca,Funza,226987.30801000018,"0,91%"
La Guajira,Riohacha,219119.86653999978,"0,87%"
Casanare,Villanueva,212614.5285,"0,85%"
Magdalena,Santa Marta,211083.11530999994,"0,84%"
Santander,Bucaramanga,209303.70552000013,"0,84%"
Cundinamarca,Madrid,208819.62048999994,"0,83%"
Antioquia,Rionegro,207441.63217999993,"0,83%"
Boyacá,Tuta,205485.96413000015,"0,82%"
Risaralda,Pereira,202484.74795999986,"0,81%"
Boyacá,Puerto Boyaca,190943.90115000005,"0,76%"
Cundinamarca,Cajica,186335.20076000007,"0,74%"
Boyacá,Sogamoso,183074.35661000002,"0,73%"
Cundinamarca,Cogua,168820.95114,"0,67%"
Cundinamarca,Soacha,162578.45848000003,"0,65%"
Atlántico,Soledad,152208.18437999993,"0,61%"
