Departamento,Municipio,Demanda Real [MWh],Participación [%]
Antioquia,Abejorral,344.97110999999995,"0,00%"
Antioquia,Amaga,21357.48841,"0,10%"
Antioquia,Amalfi,653.4855999999996,"0,00%"
Antioquia,Andes,1533.44048,"0,01%"
Antioquia,Angelopolis,1791.8591000000006,"0,01%"
Antioquia,Apartado,16201.057680000005,"0,08%"
Antioquia,Arboletes,437.8988000000001,"0,00%"
Antioquia,Barbosa,115798.90893999988,"0,56%"
Antioquia,Bello,134872.62345999997,"0,66%"
Antioquia,Caldas,33419.60812999998,"0,16%"
Antioquia,Carepa,9264.0706,"0,05%"
Antioquia,Carmen De Viboral,6956.834490000001,"0,03%"
Antioquia,Caucasia,14575.90289,"0,07%"
Antioquia,Chigorodo,959.6602600000004,"0,00%"
Antioquia,Cisneros,12116.251880000007,"0,06%"
Antioquia,Cocorna,12112.821389999981,"0,06%"
Antioquia,Copacabana,30533.177690000015,"0,15%"
Antioquia,Don Matias,2751.828449999998,"0,01%"
Antioquia,El Bagre,22839.14233999998,"0,11%"
Antioquia,Entrerrios,7127.165279999998,"0,03%"
Antioquia,Envigado,172942.21080999993,"0,84%"
Antioquia,Girardota,147777.4470999999,"0,72%"
Antioquia,Guadalupe,1418.2363300000006,"0,01%"
Antioquia,Guarne,70423.28383000001,"0,34%"
Antioquia,Guatapé,772.8936800000002,"0,00%"
Antioquia,Itagui,218136.21656999996,"1,06%"
Antioquia,La Ceja,16266.07614,"0,08%"
Antioquia,La Estrella,69457.60756000002,"0,34%"
Antioquia,La Pintada,526.09461,"0,00%"
Antioquia,La Union,5366.0364899999995,"0,03%"
Antioquia,Marinilla,31151.82295999999,"0,15%"
Antioquia,Medellín,940204.763169999,"4,57%"
Antioquia,Montebello,3235.134010000003,"0,02%"
Antioquia,Necocli,732.8346899999992,"0,00%"
Antioquia,Peñol,681.00605,"0,00%"
Antioquia,Pto Nare,81855.27126000008,"0,40%"
Antioquia,Puerto Berrio,55903.77149,"0,27%"
Antioquia,Puerto Triunfo,3854.764649999995,"0,02%"
Antioquia,Remedios,3451.3750000000045,"0,02%"
Antioquia,Retiro,52824.747890000006,"0,26%"
Antioquia,Rionegro,222643.24062000008,"1,08%"
Antioquia,Sabaneta,75496.71643000001,"0,37%"
Antioquia,San Jeronimo,1947.6714300000015,"0,01%"
Antioquia,San Pedro,23245.149479999985,"0,11%"
Antioquia,San Pedrouraba,281.56383000000005,"0,00%"
Antioquia,Santa Rosade Osos,12328.775029999999,"0,06%"
Antioquia,Santuario,834.8809200000001,"0,00%"
Antioquia,Segovia,22544.640059999994,"0,11%"
Antioquia,Sonson,5347.990020000002,"0,03%"
Antioquia,Taraza,619.1725099999999,"0,00%"
Antioquia,Titiribi,331.38806999999997,"0,00%"
Antioquia,Toledo,51011.42244000002,"0,25%"
Antioquia,Turbo,5864.7215400000005,"0,03%"
Antioquia,Urrao,1316.2639800000002,"0,01%"
Antioquia,Valparaiso,38.14288999999996,"0,00%"
Antioquia,Yarumal,22952.25246000001,"0,11%"
Antioquia,Yolombo,382.8792,"0,00%"
Arauca,Arauca,351566.3410599999,"1,71%"
Arauca,Arauquita,211.31570000000002,"0,00%"
Arauca,Saravena,2691.6999699999983,"0,01%"
Arauca,Tame,1387.8532799999998,"0,01%"
Atlántico,Baranoa,1617.0444799999993,"0,01%"
Atlántico,Barranquilla,897045.8010699995,"4,36%"
Atlántico,Campo Dela Cruz,442.97711999999996,"0,00%"
Atlántico,Candelaria,296.98704000000004,"0,00%"
Atlántico,Galapa,61767.84559999997,"0,30%"
Atlántico,Luruaco,1539.6783500000001,"0,01%"
Atlántico,Malambo,84330.10321000003,"0,41%"
Atlántico,Manati,281.87856000000005,"0,00%"
Atlántico,Palmar Devarela,453.0348000000001,"0,00%"
Atlántico,Piojo,37.12907,"0,00%"
Atlántico,Polonuevo,986.1782000000007,"0,00%"
Atlántico,Ponedera,4576.827849999999,"0,02%"
Atlántico,Puerto Colombia,19817.94329,"0,10%"
Atlántico,Repelon,417.81095999999997,"0,00%"
Atlántico,Sabanagrande,12085.795469999994,"0,06%"
Atlántico,Sabanalarga,4601.224820000001,"0,02%"
Atlántico,Santa Lucia,216.43776,"0,00%"
Atlántico,Santo Tomas,1322.3521499999997,"0,01%"
Atlántico,Soledad,92312.22759,"0,45%"
Atlántico,Suan,317.14631999999995,"0,00%"
Atlántico,Tubara,1675.3551299999997,"0,01%"
Atlántico,Usiacuri,271.82088,"0,00%"
Bogotá. D.C.,Bogota D.C,2633671.2805399993,"12,80%"
Bogotá. D.C.,Bosa,5910.9076700000005,"0,03%"
Bogotá. D.C.,Fontibon,5131.6908300000005,"0,02%"
Bogotá. D.C.,Suba,2655.932220000001,"0,01%"
Bogotá. D.C.,Usme,1174.60777,"0,01%"
Bolívar,Altos Del Rosario,146.60112,"0,00%"
Bolívar,Arjona,1673.772619999999,"0,01%"
Bolívar,Barranco Deloba,362.29788,"0,00%"
Bolívar,Calamar,917.5497499999997,"0,00%"
Bolívar,Cantagallo,3176.2920500000023,"0,02%"
Bolívar,Cartagena,1005940.5951300005,"4,89%"
Bolívar,Cicuco,287.34276,"0,00%"
Bolívar,Clemencia,317.14631999999995,"0,00%"
Bolívar,Cordoba,25.446150000000014,"0,00%"
Bolívar,Hatillo De Loba,201.3732,"0,00%"
Bolívar,Magangue,12902.063400000005,"0,06%"
Bolívar,Margarita,337.33008,"0,00%"
Bolívar,Maria Labaja,956.4458400000001,"0,00%"
Bolívar,Mompos,1253.4328799999998,"0,01%"
Bolívar,San Estanislao,206.38008000000002,"0,00%"
Bolívar,San Jacinto,739.96416,"0,00%"
Bolívar,San Juan Nepomuc.,996.6765600000001,"0,00%"
Bolívar,San Martinde Loba,300.47760000000005,"0,00%"
Bolívar,Santa Catalina,357.42096,"0,00%"
Bolívar,Santa Rosade Lima,156.04775999999998,"0,00%"
Bolívar,Talaigua Nuevo,320.55084,"0,00%"
Bolívar,Turbaco,4945.85312,"0,02%"
Bolívar,Turbana,271.82088,"0,00%"
Boyacá,Almeida,47.01491999999999,"0,00%"
Boyacá,Aquitania,483.54684000000003,"0,00%"
Boyacá,Arcabuco,268.53168,"0,00%"
Boyacá,Belen,329.0047199999999,"0,00%"
Boyacá,Berbeo,43.91124000000001,"0,00%"
Boyacá,Boavita,182.31288,"0,00%"
Boyacá,Boyaca,287.5619600000004,"0,00%"
Boyacá,Briceno,76.78835999999997,"0,00%"
Boyacá,Caldas,69.68604,"0,00%"
Boyacá,Cerinza,197.18928000000017,"0,00%"
Boyacá,Chinavita,118.76928000000001,"0,00%"
Boyacá,Chiquinquira,4759.48369,"0,02%"
Boyacá,Chiquiza,67.90536,"0,00%"
Boyacá,Chiscas,136.06416,"0,00%"
Boyacá,Chita,122.75808,"0,00%"
Boyacá,Chitaraque,68.29368,"0,00%"
Boyacá,Cienega,124.73736000000001,"0,00%"
Boyacá,Combita,254.48687999999996,"0,00%"
Boyacá,Coper,55.520039999999966,"0,00%"
Boyacá,Corrales,150.66143999999997,"0,00%"
Boyacá,Cubara,277.88184,"0,00%"
Boyacá,Cucaita,140.73491999999996,"0,00%"
Boyacá,Cuitiva,102.38472000000002,"0,00%"
Boyacá,Duitama,295206.4720100004,"1,43%"
Boyacá,El Cocuy,218.15076000000005,"0,00%"
Boyacá,El Espino,110.98584000000001,"0,00%"
Boyacá,Firavitoba,542.42598,"0,00%"
Boyacá,Gachantiva,51.12587999999992,"0,00%"
Boyacá,Gameza,112.64304000000001,"0,00%"
Boyacá,Garagoa,568.21104,"0,00%"
Boyacá,Guacamayas,123.63479999999998,"0,00%"
Boyacá,Guateque,445.0094400000002,"0,00%"
Boyacá,Guican,136.62888,"0,00%"
Boyacá,Iza,208.16663999999997,"0,00%"
Boyacá,Jerico,80.41475999999994,"0,00%"
Boyacá,Labranzagrande,90.42408000000002,"0,00%"
Boyacá,Macanal,91.32384,"0,00%"
Boyacá,Maripi,3497.451889999998,"0,02%"
Boyacá,Miraflores,3930.8703700000033,"0,02%"
Boyacá,Mongua,241.55256,"0,00%"
Boyacá,Mongui,226.10352,"0,00%"
Boyacá,Moniquira,1012.9554700000004,"0,00%"
Boyacá,Muzo,5948.35799,"0,03%"
Boyacá,Nobsa,134163.40689,"0,65%"
Boyacá,Oicata,83.71152,"0,00%"
Boyacá,Otanche,219.29927999999998,"0,00%"
Boyacá,Pachavita,885.6977800000001,"0,00%"
Boyacá,Paipa,4356.05261,"0,02%"
Boyacá,Panqueba,78.73967999999999,"0,00%"
Boyacá,Pauna,149.80079999999998,"0,00%"
Boyacá,Paz Derio,5349.509789999999,"0,03%"
Boyacá,Pesca,1239.635969999999,"0,01%"
Boyacá,Puerto Boyaca,241677.37235000025,"1,17%"
Boyacá,Quipama,121.44636,"0,00%"
Boyacá,Ramiriqui,310.19712000000027,"0,00%"
Boyacá,Raquira,229.41215999999997,"0,00%"
Boyacá,Rondon,46.23468,"0,00%"
Boyacá,S.Jose De Pare,124.21344000000005,"0,00%"
Boyacá,S.Luis De Gaceno,209.5385999999998,"0,00%"
Boyacá,Saboya,134.69304,"0,00%"
Boyacá,Sachica,140.99328000000003,"0,00%"
Boyacá,Samaca,6586.319820000003,"0,03%"
Boyacá,San Eduardo,67.45548000000001,"0,00%"
Boyacá,San Mateo,144.97992,"0,00%"
Boyacá,Santa Maria,739078.7529300002,"3,59%"
Boyacá,Santa Rosa De V.,791.2183499999998,"0,00%"
Boyacá,Santa Sofia,63.89580000000001,"0,00%"
Boyacá,Santana,414.72216000000003,"0,00%"
Boyacá,Siachoque,93.498,"0,00%"
Boyacá,Soata,340.70543999999995,"0,00%"
Boyacá,Socha,240.90120000000002,"0,00%"
Boyacá,Socota,549.1358599999995,"0,00%"
Boyacá,Sogamoso,168797.43287999998,"0,82%"
Boyacá,Somondoco,151.87344000000002,"0,00%"
Boyacá,Sora,110.47392,"0,00%"
Boyacá,Sotaquira,960.6689300000007,"0,00%"
Boyacá,Sutamarchan,234.82283999999999,"0,00%"
Boyacá,Sutatenza,121.21799999999999,"0,00%"
Boyacá,Tasco,194.45592000000013,"0,00%"
Boyacá,Tenza,140.9446799999999,"0,00%"
Boyacá,Tibana,178.75848000000002,"0,00%"
Boyacá,Tibasosa,2156.23093,"0,01%"
Boyacá,Tinjaca,161.29188,"0,00%"
Boyacá,Tipacoque,93.64104,"0,00%"
Boyacá,Toca,203.1,"0,00%"
Boyacá,Togui,103.19232,"0,00%"
Boyacá,Topaga,314.20368,"0,00%"
Boyacá,Tota,90.56964,"0,00%"
Boyacá,Tunja,19879.05936,"0,10%"
Boyacá,Turmeque,198.76152000000002,"0,00%"
Boyacá,Tuta,187350.54325999992,"0,91%"
Boyacá,Umbita,118.13519999999998,"0,00%"
Boyacá,Ventaquemada,548.6710799999996,"0,00%"
Boyacá,Villa Deleyva,1077.96912,"0,01%"
Boyacá,Viracacha,71.37432,"0,00%"
Boyacá,Zetaquira,106.75139999999999,"0,00%"
Caldas,Aguadas,458.53367999999875,"0,00%"
Caldas,Anserma,775.2732200000002,"0,00%"
Caldas,Chinchina,78139.39001,"0,38%"
Caldas,La Dorada,8382.448579999998,"0,04%"
Caldas,Manizales,351359.5566500002,"1,71%"
Caldas,Marmato,23438.316950000004,"0,11%"
Caldas,Neira,677.2160400000021,"0,00%"
Caldas,Palestina,453.8561199999999,"0,00%"
Caldas,Pensilvania,1094.2777400000002,"0,01%"
Caldas,Salamina,499.26983999999993,"0,00%"
Caldas,Supia,4057.7772499999983,"0,02%"
Caldas,Villamaria,6340.467049999997,"0,03%"
Caldas,Viterbo,34.75596,"0,00%"
Caquetá,Florencia,4089.03593,"0,02%"
Casanare,Aguazul,3494.045549999997,"0,02%"
Casanare,La Salina,16.43064,"0,00%"
Casanare,Mani,963.1681000000004,"0,00%"
Casanare,Monterrey,550.5123199999999,"0,00%"
Casanare,Pore,181.40604000000002,"0,00%"
Casanare,Recetor,26.091,"0,00%"
Casanare,Sabanalarga,71.69004000000001,"0,00%"
Casanare,Sacama,44.20752,"0,00%"
Casanare,San Luisde Palenque,128.39448,"0,00%"
Casanare,Tamara,52.77072,"0,00%"
Casanare,Tauramena,27849.49021,"0,14%"
Casanare,Trinidad,66.44507999999999,"0,00%"
Casanare,Villanueva,6934.5213399999975,"0,03%"
Casanare,Yopal,37888.25544999996,"0,18%"
Cauca,Cajibio,580.1506700000004,"0,00%"
Cauca,Caloto,105428.23599999999,"0,51%"
Cauca,Guachené,66669.06555999994,"0,32%"
Cauca,Miranda,2189.330540000001,"0,01%"
Cauca,Paez (Belalcazar),32.57400000000003,"0,00%"
Cauca,Popayan,40333.80260000001,"0,20%"
Cauca,Puerto Tejada,88197.44809000005,"0,43%"
Cauca,Purace,757.3617900000003,"0,00%"
Cauca,Santander De Quilichao,58928.67582999997,"0,29%"
Cauca,Villa Rica,40595.37416000002,"0,20%"
Cesar,Aguachica,12353.108740000003,"0,06%"
Cesar,Agustin Codazzi,19783.275530000003,"0,10%"
Cesar,Becerril,534.9580500000002,"0,00%"
Cesar,Bosconia,1632.6689299999991,"0,01%"
Cesar,Chimichagua,654.408,"0,00%"
Cesar,Chiriguana,1358.9691600000003,"0,01%"
Cesar,El Copey,4313.733410000001,"0,02%"
Cesar,El Paso,34058.034060000005,"0,17%"
Cesar,Gamarra,383.9553500000001,"0,00%"
Cesar,L.Jagua Ibirico,31524.02766,"0,15%"
Cesar,La Gloria,44627.884050000015,"0,22%"
Cesar,Rio Deoro,20.793,"0,00%"
Cesar,Robles (La Paz),1809.4522899999988,"0,01%"
Cesar,San Alberto,7332.438459999995,"0,04%"
Cesar,San Martin,4886.227679999996,"0,02%"
Cesar,Valledupar,77396.52686000003,"0,38%"
Chocó,El Carmen,13652.272790000005,"0,07%"
Chocó,Quibdo,770.2881600000011,"0,00%"
Córdoba,Ayapel,770.18112,"0,00%"
Córdoba,Canalete,41.14685,"0,00%"
Córdoba,Cerete,14767.479189999995,"0,07%"
Córdoba,Chinu,2853.9822899999986,"0,01%"
Córdoba,Cienaga De Oro,8101.960990000002,"0,04%"
Córdoba,Cotorra,61.572789999999976,"0,00%"
Córdoba,La Apartada,362.42783999999995,"0,00%"
Córdoba,Lorica,16074.159569999994,"0,08%"
Córdoba,Monitos,40.92911999999999,"0,00%"
Córdoba,Montelibano,1308954.9963800006,"6,36%"
Córdoba,Monteria,88356.30769000007,"0,43%"
Córdoba,Planeta Rica,13396.733809999994,"0,07%"
Córdoba,Pto. Libertador,3853.6205400000017,"0,02%"
Córdoba,Pueblo Nuevo,370.6236,"0,00%"
Córdoba,S.Andres Sotav.,474.10547999999994,"0,00%"
Córdoba,Sahagun,5784.301310000001,"0,03%"
Córdoba,San Antero,1060.3787999999995,"0,01%"
Córdoba,San Pelayo,712.8781799999999,"0,00%"
Córdoba,Tierralta,1211.41086,"0,01%"
Cundinamarca,Agua De Dios,3157.2691000000023,"0,02%"
Cundinamarca,Anapoima,2682.32558,"0,01%"
Cundinamarca,Apulo (R.Reyes),223.08825000000004,"0,00%"
Cundinamarca,Bojaca,1435.4206000000006,"0,01%"
Cundinamarca,Cajica,141041.98076000006,"0,69%"
Cundinamarca,Chia,32437.666590000008,"0,16%"
Cundinamarca,Choconta,331.87192000000016,"0,00%"
Cundinamarca,Cogua,14054.981979999993,"0,07%"
Cundinamarca,Cota,100723.71160000007,"0,49%"
Cundinamarca,Cucunuba,1918.4721699999998,"0,01%"
Cundinamarca,El Rosal,12733.37373,"0,06%"
Cundinamarca,Facatativa,88063.12009999993,"0,43%"
Cundinamarca,Funza,149597.67358,"0,73%"
Cundinamarca,Fuquene,2489.4388499999995,"0,01%"
Cundinamarca,Fusagasuga,905.8648099999998,"0,00%"
Cundinamarca,Gachancipa,46431.02677999999,"0,23%"
Cundinamarca,Girardot,32527.602300000006,"0,16%"
Cundinamarca,Guacheta,10286.680059999999,"0,05%"
Cundinamarca,Guaduas,18892.289430000015,"0,09%"
Cundinamarca,Guasca,1102.29856,"0,01%"
Cundinamarca,Guayabetal,1268.3385200000002,"0,01%"
Cundinamarca,La Calera,45590.26655000003,"0,22%"
Cundinamarca,Lenguazaque,3543.2480600000004,"0,02%"
Cundinamarca,Madrid,107590.86162000007,"0,52%"
Cundinamarca,Mosquera,85718.08287,"0,42%"
Cundinamarca,Nemocon,2802.510439999998,"0,01%"
Cundinamarca,Puerto Salgar,40828.47541,"0,20%"
Cundinamarca,Quebradanegra,366.28013000000004,"0,00%"
Cundinamarca,Ricaurte,10353.016089999992,"0,05%"
Cundinamarca,Sasaima,3271.093439999999,"0,02%"
Cundinamarca,Sesquile,18012.92182999999,"0,09%"
Cundinamarca,Sibate,72755.75058000004,"0,35%"
Cundinamarca,Silvania,193.4868399999999,"0,00%"
Cundinamarca,Soacha,120062.90626000003,"0,58%"
Cundinamarca,Sopo,69052.35493999999,"0,34%"
Cundinamarca,Suesca,39616.04628,"0,19%"
Cundinamarca,Tabio,3147.9424499999986,"0,02%"
Cundinamarca,Tausa,72.22501,"0,00%"
Cundinamarca,Tenjo,27523.269049999995,"0,13%"
Cundinamarca,Tocaima,252.6908600000002,"0,00%"
Cundinamarca,Tocancipa,346477.7965200001,"1,68%"
Cundinamarca,Ubala,706.92478,"0,00%"
Cundinamarca,Ubate,1965.2264100000007,"0,01%"
Cundinamarca,Une,1362.679089999999,"0,01%"
Cundinamarca,Villeta,17692.501500000006,"0,09%"
Cundinamarca,Zipaquira,90069.87101999996,"0,44%"
Huila,Acevedo,240.4260799999999,"0,00%"
Huila,Agrado,133.5030699999999,"0,00%"
Huila,Aipe,43268.11219000004,"0,21%"
Huila,Algeciras,392.997449999999,"0,00%"
Huila,Altamira,145.13087999999988,"0,00%"
Huila,Baraya,491.77090999999984,"0,00%"
