Departamento,Municipio,Demanda Real [MWh],Participación [%]
Bogotá. D.C.,Bogota D.C,2270311.681590002,"9,99%"
Bolívar,Cartagena,1204540.6232399994,"5,30%"
Córdoba,Montelibano,1158674.34019,"5,10%"
Atlántico,Barranquilla,970880.8010900008,"4,27%"
Valle Del Cauca,Cali,917834.3091499995,"4,04%"
Antioquia,Medellín,900542.8266300005,"3,96%"
Valle Del Cauca,Yumbo,828121.56637,"3,64%"
Boyacá,Santa Maria,792081.8724100007,"3,49%"
Santander,Barrancabermeja,670712.85387,"2,95%"
Meta,Puerto Gaitan,585578.9921500002,"2,58%"
Meta,Villavicencio,532527.9164900001,"2,34%"
Arauca,Arauca,519642.00737000024,"2,29%"
Cundinamarca,Tocancipa,466650.1732499996,"2,05%"
Boyacá,Nobsa,428253.85267999966,"1,88%"
Caldas,Manizales,408466.2917400001,"1,80%"
Valle Del Cauca,Palmira,404823.3285799998,"1,78%"
Antioquia,Itagui,246117.18928999995,"1,08%"
Boyacá,Tuta,236197.11131999997,"1,04%"
Tolima,Ibague,226625.42729999998,"1,00%"
Norte De Santander,Cucuta,223432.8819799999,"0,98%"
Boyacá,Puerto Boyaca,212216.02162999994,"0,93%"
Antioquia,Rionegro,206895.80620000005,"0,91%"
Cundinamarca,Madrid,204309.59575000007,"0,90%"
Cundinamarca,Funza,203499.94552000004,"0,90%"
Cundinamarca,Cajica,202463.59874999998,"0,89%"
Magdalena,Santa Marta,199575.99526999993,"0,88%"
Santander,Bucaramanga,195927.6431,"0,86%"
La Guajira,Riohacha,195301.12869000007,"0,86%"
Risaralda,Pereira,189542.71293,"0,83%"
Boyacá,Sogamoso,178528.76032,"0,79%"
Antioquia,Girardota,157436.7758299999,"0,69%"
Cundinamarca,Soacha,154147.52927000003,"0,68%"
Cauca,Guachené,143218.6474900001,"0,63%"
Valle Del Cauca,Buga,132869.61878000005,"0,58%"
Cundinamarca,Cota,132422.4024900001,"0,58%"
Atlántico,Soledad,128868.68915000005,"0,57%"
Cundinamarca,Cogua,127973.60751999998,"0,56%"
Antioquia,Barbosa,122847.66751000001,"0,54%"
Huila,Aipe,119915.95276999997,"0,53%"
Antioquia,Bello,119847.20443000009,"0,53%"
Atlántico,Malambo,119695.45415000008,"0,53%"
Antioquia,Envigado,115734.0656799999,"0,51%"
Huila,Neiva,113422.14213000002,"0,50%"
Cundinamarca,Facatativa,111154.43034999998,"0,49%"
Atlántico,Galapa,100340.33988000007,"0,44%"
Córdoba,Monteria,98154.68450000003,"0,43%"
Antioquia,Buritica,96784.25471000005,"0,43%"
Antioquia,Sonson,94920.85518999996,"0,42%"
Antioquia,Pto Nare,94276.90629,"0,41%"
Cundinamarca,Mosquera,91833.08614000001,"0,40%"
Cundinamarca,Sibate,86828.83529,"0,38%"
Caldas,Chinchina,85820.20898000002,"0,38%"
Antioquia,Guarne,85818.29352000008,"0,38%"
Magdalena,Cienaga,83251.14731999999,"0,37%"
Valle Del Cauca,Candelaria,82560.47753000006,"0,36%"
Santander,Giron,81916.97560000006,"0,36%"
Cesar,Valledupar,79948.77899000004,"0,35%"
Sucre,Sincelejo,78316.09428999994,"0,34%"
Antioquia,La Estrella,77709.28665000005,"0,34%"
Risaralda,Dos Quebradas,75867.01241000004,"0,33%"
Santander,Floridablanca,72868.24346999996,"0,32%"
Cundinamarca,Gachancipa,68727.41912999998,"0,30%"
Antioquia,Sabaneta,67583.85112000002,"0,30%"
Cauca,Puerto Tejada,65482.17261000005,"0,29%"
Cauca,Santander De Quilichao,63207.17780000002,"0,28%"
Cundinamarca,Sopo,62440.318329999965,"0,27%"
Valle Del Cauca,Buenaventura,61132.775069999996,"0,27%"
Antioquia,Puerto Berrio,59925.162629999955,"0,26%"
Valle Del Cauca,Tulua,58780.4859,"0,26%"
Cesar,La Gloria,58050.48961999997,"0,26%"
Atlántico,Sabanalarga,56906.40298000003,"0,25%"
Valle Del Cauca,Cartago,54643.176080000085,"0,24%"
Tolima,Carmen Deapicala,51262.42974000006,"0,23%"
Santander,Piedecuesta,47855.827940000025,"0,21%"
Antioquia,Segovia,47688.83915000001,"0,21%"
Cundinamarca,La Calera,47539.79442000003,"0,21%"
Cauca,Caloto,45832.95703000001,"0,20%"
Sucre,Tolu,45743.824570000004,"0,20%"
Antioquia,Copacabana,45162.41261000002,"0,20%"
Casanare,Yopal,43790.01888,"0,19%"
Cundinamarca,Tenjo,43450.51294999999,"0,19%"
Antioquia,Marinilla,43032.22632,"0,19%"
Cundinamarca,Suesca,42817.30332,"0,19%"
Cundinamarca,Chia,42309.042869999976,"0,19%"
Antioquia,Caldas,40767.708699999974,"0,18%"
Santander,Puerto Wilches,40096.216799999995,"0,18%"
Cundinamarca,Sesquile,39450.71862000001,"0,17%"
Casanare,Tauramena,39118.72597999996,"0,17%"
Cauca,Villa Rica,38909.380250000024,"0,17%"
Antioquia,Toledo,38487.541249999995,"0,17%"
Meta,Puerto Lopez,37350.59961000001,"0,16%"
Cundinamarca,Puerto Salgar,36806.32701999999,"0,16%"
Cauca,Popayan,36704.96538999999,"0,16%"
Córdoba,Cienaga De Oro,35822.00470999998,"0,16%"
Valle Del Cauca,Bugalagrande,35653.81102,"0,16%"
Cesar,El Copey,35195.03671,"0,15%"
