Departamento,Municipio,Demanda Real [MWh],Participación [%]
Antioquia,Abejorral,343.68469000000005,"0,00%"
Antioquia,Amaga,20732.464590000007,"0,10%"
Antioquia,Amalfi,729.3343,"0,00%"
Antioquia,Andes,1452.13273,"0,01%"
Antioquia,Angelopolis,1216.1978499999996,"0,01%"
Antioquia,Apartado,15451.215820000005,"0,07%"
Antioquia,Arboletes,439.31266999999974,"0,00%"
Antioquia,Barbosa,151304.53935999994,"0,72%"
Antioquia,Bello,133540.04965,"0,64%"
Antioquia,Caldas,32580.281500000005,"0,16%"
Antioquia,Carepa,10673.678699999997,"0,05%"
Antioquia,Carmen De Viboral,6748.326200000002,"0,03%"
Antioquia,Caucasia,14631.509150000007,"0,07%"
Antioquia,Chigorodo,1190.4044000000001,"0,01%"
Antioquia,Cisneros,11735.389870000005,"0,06%"
Antioquia,Cocorna,9918.90669,"0,05%"
Antioquia,Copacabana,36212.68294999999,"0,17%"
Antioquia,Don Matias,2678.6666900000005,"0,01%"
Antioquia,El Bagre,21599.94216999997,"0,10%"
Antioquia,Entrerrios,7144.50605,"0,03%"
Antioquia,Envigado,172886.84209000002,"0,83%"
Antioquia,Girardota,143501.70068000007,"0,69%"
Antioquia,Guadalupe,1639.4332699999998,"0,01%"
Antioquia,Guarne,68180.07199999999,"0,33%"
Antioquia,Guatapé,683.7494899999999,"0,00%"
Antioquia,Itagui,224207.7372299999,"1,07%"
Antioquia,La Ceja,15712.07307,"0,08%"
Antioquia,La Estrella,71228.69041999994,"0,34%"
Antioquia,La Pintada,535.3189399999999,"0,00%"
Antioquia,La Union,6010.044779999999,"0,03%"
Antioquia,Marinilla,28388.409679999986,"0,14%"
Antioquia,Medellín,989915.9343799996,"4,74%"
Antioquia,Montebello,3848.7489800000008,"0,02%"
Antioquia,Necocli,812.0553699999997,"0,00%"
Antioquia,Peñol,693.1352800000001,"0,00%"
Antioquia,Pto Nare,95168.64057000005,"0,46%"
Antioquia,Puerto Berrio,57250.90716999999,"0,27%"
Antioquia,Puerto Triunfo,3907.9067600000003,"0,02%"
Antioquia,Remedios,3878.8673299999973,"0,02%"
Antioquia,Retiro,75457.76908999997,"0,36%"
Antioquia,Rionegro,229506.77941999983,"1,10%"
Antioquia,Sabaneta,79623.82565000004,"0,38%"
Antioquia,San Jeronimo,2086.77338,"0,01%"
Antioquia,San Pedro,22651.623980000015,"0,11%"
Antioquia,San Pedrouraba,285.80794000000003,"0,00%"
Antioquia,Santa Rosade Osos,10085.268830000012,"0,05%"
Antioquia,Santuario,889.7643700000002,"0,00%"
Antioquia,Segovia,16236.684820000004,"0,08%"
Antioquia,Sonson,4303.421550000004,"0,02%"
Antioquia,Taraza,603.3511699999999,"0,00%"
Antioquia,Titiribi,296.4055400000003,"0,00%"
Antioquia,Toledo,34602.28546999998,"0,17%"
Antioquia,Turbo,5073.667940000003,"0,02%"
Antioquia,Urrao,1189.064740000001,"0,01%"
Antioquia,Valparaiso,46.75681000000003,"0,00%"
Antioquia,Yarumal,23188.094200000003,"0,11%"
Antioquia,Yolombo,409.94259000000005,"0,00%"
Arauca,Arauca,392324.07211999956,"1,88%"
Arauca,Saravena,2164.5548300000014,"0,01%"
Arauca,Tame,1025.0907599999998,"0,00%"
Atlántico,Baranoa,1644.4098999999992,"0,01%"
Atlántico,Barranquilla,910890.1335700008,"4,36%"
Atlántico,Campo Dela Cruz,441.7668,"0,00%"
Atlántico,Candelaria,296.17560000000003,"0,00%"
Atlántico,Galapa,16749.344599999997,"0,08%"
Atlántico,Luruaco,1259.6093799999996,"0,01%"
Atlántico,Malambo,78037.82099999995,"0,37%"
Atlántico,Manati,281.1084,"0,00%"
Atlántico,Palmar Devarela,451.797,"0,00%"
Atlántico,Polonuevo,1208.0095800000004,"0,01%"
Atlántico,Ponedera,4646.482359999999,"0,02%"
Atlántico,Puerto Colombia,17496.807339999992,"0,08%"
Atlántico,Repelon,416.66939999999994,"0,00%"
Atlántico,Sabanagrande,12083.163630000001,"0,06%"
Atlántico,Sabanalarga,4511.2539499999975,"0,02%"
Atlántico,Santa Lucia,215.8464,"0,00%"
Atlántico,Santo Tomas,1234.6340999999998,"0,01%"
Atlántico,Soledad,95685.81516999993,"0,46%"
Atlántico,Suan,316.27979999999997,"0,00%"
Atlántico,Tubara,1528.9771599999995,"0,01%"
Atlántico,Usiacuri,271.0782,"0,00%"
Bogotá. D.C.,Bogota D.C,2749995.4966399996,"13,16%"
Bogotá. D.C.,Bosa,5817.249659999998,"0,03%"
Bogotá. D.C.,Fontibon,5135.931649999995,"0,02%"
Bogotá. D.C.,Suba,2660.779619999999,"0,01%"
Bogotá. D.C.,Usme,1260.1615400000005,"0,01%"
Bolívar,Altos Del Rosario,190.74900000000002,"0,00%"
Bolívar,Arjona,2073.1361099999995,"0,01%"
Bolívar,Barranco Deloba,291.6834,"0,00%"
Bolívar,Calamar,961.1708600000005,"0,00%"
Bolívar,Cantagallo,3997.644659999999,"0,02%"
Bolívar,Cartagena,1072081.1024499992,"5,13%"
Bolívar,Cicuco,205.8162,"0,00%"
Bolívar,Clemencia,316.27979999999997,"0,00%"
Bolívar,Cordoba,459.0073499999998,"0,00%"
Bolívar,Hatillo De Loba,202.46460000000002,"0,00%"
Bolívar,Magangue,15629.263719999986,"0,07%"
Bolívar,Margarita,256.011,"0,00%"
Bolívar,Maria Labaja,953.8326000000001,"0,00%"
Bolívar,Mompos,1239.62544,"0,01%"
Bolívar,San Estanislao,235.74419999999998,"0,00%"
Bolívar,San Jacinto,737.9423999999999,"0,00%"
Bolívar,San Juan Nepomuc.,993.9534000000001,"0,00%"
Bolívar,San Martinde Loba,256.011,"0,00%"
Bolívar,Santa Catalina,336.15312,"0,00%"
Bolívar,Santa Rosade Lima,242.46275999999997,"0,00%"
Bolívar,Talaigua Nuevo,306.20579999999995,"0,00%"
Bolívar,Turbaco,5304.22281,"0,03%"
Bolívar,Turbana,254.04167999999999,"0,00%"
Boyacá,Almeida,40.1682,"0,00%"
Boyacá,Aquitania,426.0426,"0,00%"
Boyacá,Arcabuco,251.99916000000002,"0,00%"
Boyacá,Belen,339.88416,"0,00%"
Boyacá,Berbeo,68.1342,"0,00%"
Boyacá,Boavita,129.33312,"0,00%"
Boyacá,Boyaca,246.8077200000002,"0,00%"
Boyacá,Briceno,67.8246,"0,00%"
Boyacá,Caldas,50.548199999999994,"0,00%"
Boyacá,Cerinza,155.68847999999997,"0,00%"
Boyacá,Chinavita,108.69828000000001,"0,00%"
Boyacá,Chiquinquira,4517.793239999998,"0,02%"
Boyacá,Chiquiza,79.1634,"0,00%"
Boyacá,Chiscas,124.41431999999999,"0,00%"
Boyacá,Chita,126.3192,"0,00%"
Boyacá,Chitaraque,61.69872,"0,00%"
Boyacá,Cienega,110.16696000000002,"0,00%"
Boyacá,Combita,101.54580000000001,"0,00%"
Boyacá,Coper,86.15664,"0,00%"
Boyacá,Corrales,139.9344,"0,00%"
Boyacá,Cubara,211.67556000000002,"0,00%"
Boyacá,Cucaita,116.08944000000001,"0,00%"
Boyacá,Cuitiva,44.05764,"0,00%"
Boyacá,Duitama,312973.90886,"1,50%"
Boyacá,El Cocuy,217.55460000000005,"0,00%"
Boyacá,El Espino,116.02260000000001,"0,00%"
Boyacá,Firavitoba,424.6849099999999,"0,00%"
Boyacá,Gachantiva,58.68264,"0,00%"
Boyacá,Gameza,88.27968,"0,00%"
Boyacá,Garagoa,549.5772,"0,00%"
Boyacá,Guacamayas,86.5578,"0,00%"
Boyacá,Guateque,435.13068,"0,00%"
Boyacá,Guican,135.38580000000002,"0,00%"
Boyacá,Iza,206.4732,"0,00%"
Boyacá,Jerico,55.65780000000001,"0,00%"
Boyacá,Labranzagrande,74.04792000000002,"0,00%"
Boyacá,Macanal,96.22908,"0,00%"
Boyacá,Maripi,3186.8361800000002,"0,02%"
Boyacá,Miraflores,3879.1440099999977,"0,02%"
Boyacá,Mongua,111.2082,"0,00%"
Boyacá,Mongui,206.78076000000001,"0,00%"
Boyacá,Moniquira,985.9005199999996,"0,00%"
Boyacá,Muzo,5279.534299999997,"0,03%"
Boyacá,Nobsa,148684.00397,"0,71%"
Boyacá,Oicata,72.5532,"0,00%"
Boyacá,Otanche,200.08032000000014,"0,00%"
Boyacá,Pachavita,1057.90943,"0,01%"
Boyacá,Paipa,4329.284999999997,"0,02%"
Boyacá,Panqueba,134.84376000000003,"0,00%"
Boyacá,Pauna,132.52871999999996,"0,00%"
Boyacá,Paz Derio,5677.351829999998,"0,03%"
Boyacá,Pesca,1031.8057899999992,"0,00%"
Boyacá,Puerto Boyaca,261960.1926699998,"1,25%"
Boyacá,Quipama,107.90232000000005,"0,00%"
Boyacá,Ramiriqui,285.13776,"0,00%"
Boyacá,Raquira,149.652,"0,00%"
Boyacá,Rondon,53.65476,"0,00%"
Boyacá,S.Jose De Pare,94.53251999999999,"0,00%"
Boyacá,S.Luis De Gaceno,223.80347999999998,"0,00%"
Boyacá,Saboya,150.59712,"0,00%"
Boyacá,Sachica,180.59387999999998,"0,00%"
Boyacá,Samaca,8871.493160000004,"0,04%"
Boyacá,San Eduardo,48.86999999999999,"0,00%"
Boyacá,San Mateo,90.37212,"0,00%"
Boyacá,Santa Maria,712964.1518599995,"3,41%"
Boyacá,Santa Rosa De V.,1003.6418299999992,"0,00%"
Boyacá,Santa Sofia,95.28264000000001,"0,00%"
Boyacá,Santana,413.39832,"0,00%"
Boyacá,Siachoque,83.3514,"0,00%"
Boyacá,Soata,267.59232,"0,00%"
Boyacá,Socha,210.96828000000002,"0,00%"
Boyacá,Socota,679.57712,"0,00%"
Boyacá,Sogamoso,177416.40577000004,"0,85%"
Boyacá,Somondoco,138.8604,"0,00%"
Boyacá,Sora,105.75276000000001,"0,00%"
Boyacá,Sotaquira,987.3905799999995,"0,00%"
Boyacá,Sutamarchan,226.44239999999996,"0,00%"
Boyacá,Sutatenza,134.88432,"0,00%"
Boyacá,Tasco,112.97868,"0,00%"
Boyacá,Tenza,158.56332,"0,00%"
Boyacá,Tibana,142.18079999999998,"0,00%"
Boyacá,Tibasosa,2799.804929999998,"0,01%"
Boyacá,Tinjaca,154.7982,"0,00%"
Boyacá,Tipacoque,93.86339999999998,"0,00%"
Boyacá,Toca,160.10807999999997,"0,00%"
Boyacá,Togui,92.65716,"0,00%"
Boyacá,Topaga,225.73559999999998,"0,00%"
